countyFIPS,County Name,State,StateFIPS,date,cumulative_cases,daily_cases,population,cases_per_100k,cases_per_100k_7day_avg
01059,County 01059,State,1,2020-03-01,603,0.0,690588,0.0,0.0
01059,County 01059,State,1,2020-03-02,603,0.0,690588,0.0,0.0
01059,County 01059,State,1,2020-03-03,603,0.0,690588,0.0,0.0
01059,County 01059,State,1,2020-03-04,610,7.0,690588,1.013628965461317,0.25340724136532927
01059,County 01059,State,1,2020-03-05,642,32.0,690588,4.633732413537449,1.129472275799753
01059,County 01059,State,1,2020-03-06,643,1.0,690588,0.14480413792304528,0.9653609194869684
01059,County 01059,State,1,2020-03-07,643,0.0,690588,0.0,0.8274522167031159
01059,County 01059,State,1,2020-03-08,643,0.0,690588,0.0,0.8274522167031159
01059,County 01059,State,1,2020-03-09,643,0.0,690588,0.0,0.8274522167031159
01059,County 01059,State,1,2020-03-10,643,0.0,690588,0.0,0.8274522167031159
01059,County 01059,State,1,2020-03-11,643,0.0,690588,0.0,0.6826480787800706
01059,County 01059,State,1,2020-03-12,643,0.0,690588,0.0,0.020686305417577898
01059,County 01059,State,1,2020-03-13,643,0.0,690588,0.0,0.0
01059,County 01059,State,1,2020-03-14,643,0.0,690588,0.0,0.0
01059,County 01059,State,1,2020-03-15,643,0.0,690588,0.0,0.0
01059,County 01059,State,1,2020-03-16,643,0.0,690588,0.0,0.0
01059,County 01059,State,1,2020-03-17,643,0.0,690588,0.0,0.0
01059,County 01059,State,1,2020-03-18,643,0.0,690588,0.0,0.0
01059,County 01059,State,1,2020-03-19,643,0.0,690588,0.0,0.0
01059,County 01059,State,1,2020-03-20,643,0.0,690588,0.0,0.0
01059,County 01059,State,1,2020-03-21,652,9.0,690588,1.3032372413074076,0.1861767487582011
01059,County 01059,State,1,2020-03-22,678,26.0,690588,3.7649075859991776,0.7240206896152265
01059,County 01059,State,1,2020-03-23,689,11.0,690588,1.592845517153498,0.9515700492085833
01059,County 01059,State,1,2020-03-24,689,0.0,690588,0.0,0.9515700492085833
01059,County 01059,State,1,2020-03-25,689,0.0,690588,0.0,0.9515700492085833
01059,County 01059,State,1,2020-03-26,708,19.0,690588,2.7512786205378603,1.3446098521425633
01059,County 01059,State,1,2020-03-27,708,0.0,690588,0.0,1.3446098521425633
01059,County 01059,State,1,2020-03-28,708,0.0,690588,0.0,1.1584331033843625
01059,County 01059,State,1,2020-03-29,708,0.0,690588,0.0,0.620589162527337
01059,County 01059,State,1,2020-03-30,758,50.0,690588,7.240206896152264,1.4273550738128749
01059,County 01059,State,1,2020-03-31,758,0.0,690588,0.0,1.4273550738128749
01059,County 01059,State,1,2020-04-01,758,0.0,690588,0.0,1.4273550738128749
01059,County 01059,State,1,2020-04-02,769,11.0,690588,1.592845517153498,1.2618646304722516
01059,County 01059,State,1,2020-04-03,769,0.0,690588,0.0,1.2618646304722516
01059,County 01059,State,1,2020-04-04,769,0.0,690588,0.0,1.2618646304722516
01059,County 01059,State,1,2020-04-05,799,30.0,690588,4.344124137691359,1.8824537929995888
01059,County 01059,State,1,2020-04-06,823,24.0,690588,3.475299310153087,1.3446098521425633
01059,County 01059,State,1,2020-04-07,823,0.0,690588,0.0,1.3446098521425633
